,date_orig_id,index,date_str,AWND,PRCP,SNOW,SNWD,TAVG
133,2018-01-03-IND,IND,2018-01-03,38.0,0.0,0.0,0.0,-121.5
134,2018-01-03-RSW,RSW,2018-01-03,39.0,0.0,0.0,0.0,20.0
135,2018-01-03-DEN,DEN,2018-01-03,30.0,0.0,0.0,0.0,23.0
136,2018-01-03-SNA,SNA,2018-01-03,13.0,0.0,0.0,0.0,164.0
137,2018-01-03-SMF,SMF,2018-01-03,12.0,53.0,0.0,0.0,89.0
138,2018-01-03-BWI,BWI,2018-01-03,19.0,0.0,0.0,0.0,-81.0
139,2018-01-03-IAD,IAD,2018-01-03,14.0,0.0,0.0,0.0,-93.0
140,2018-01-03-CVG,CVG,2018-01-03,42.0,0.0,3.0,0.0,-112.0
141,2018-01-03-CMH,CMH,2018-01-03,25.0,0.0,0.0,0.0,23.0
142,2018-01-03-PHL,PHL,2018-01-03,17.0,0.0,0.0,0.0,-66.0
143,2018-01-03-JFK,JFK,2018-01-03,37.0,0.0,0.0,0.0,-61.0
144,2018-01-03-PIT,PIT,2018-01-03,26.0,0.0,0.0,50.0,-122.0
145,2018-01-03-ORD,ORD,2018-01-03,55.0,0.0,3.0,30.0,-114.0
146,2018-01-03-DTW,DTW,2018-01-03,60.0,3.0,13.0,150.0,-137.0
147,2018-01-04-DFW,DFW,2018-01-04,15.0,0.0,0.0,0.0,38.0
148,2018-01-04-CLE,CLE,2018-01-04,93.0,0.0,0.0,0.0,-102.0
149,2018-01-04-MCO,MCO,2018-01-04,49.0,0.0,0.0,0.0,49.0
150,2018-01-04-MIA,MIA,2018-01-04,40.0,0.0,0.0,0.0,116.0
151,2018-01-04-TPA,TPA,2018-01-04,33.0,0.0,0.0,0.0,71.0
152,2018-01-04-FLL,FLL,2018-01-04,48.0,0.0,0.0,0.0,96.0
153,2018-01-04-MSY,MSY,2018-01-04,26.0,0.0,0.0,0.0,28.0
154,2018-01-04-HOU,HOU,2018-01-04,14.0,0.0,0.0,0.0,37.0
155,2018-01-04-SAT,SAT,2018-01-04,25.0,0.0,0.0,0.0,54.0
156,2018-01-04-IAH,IAH,2018-01-04,14.0,0.0,0.0,0.0,33.0
157,2018-01-04-RDU,RDU,2018-01-04,43.0,0.0,0.0,30.0,-32.0
158,2018-01-04-DCA,DCA,2018-01-04,89.0,25.0,20.0,30.0,-31.0
159,2018-01-04-ATL,ATL,2018-01-04,78.0,0.0,0.0,0.0,-19.0
160,2018-01-04-CLT,CLT,2018-01-04,44.0,0.0,0.0,0.0,-33.0
161,2018-01-04-BNA,BNA,2018-01-04,38.0,0.0,0.0,0.0,-63.0
162,2018-01-04-AUS,AUS,2018-01-04,12.0,0.0,0.0,0.0,23.0
163,2018-01-04-DAL,DAL,2018-01-04,15.0,0.0,0.0,0.0,28.0
164,2018-01-04-MCI,MCI,2018-01-04,19.0,0.0,0.0,0.0,-87.5
165,2018-01-04-STL,STL,2018-01-04,34.0,0.0,5.0,0.0,-119.0
166,2018-01-04-LGA,LGA,2018-01-04,111.0,130.0,188.0,30.0,-33.0
167,2018-01-04-EWR,EWR,2018-01-04,102.0,180.0,213.0,0.0,-37.0
168,2018-01-04-BOS,BOS,2018-01-04,101.0,343.0,340.0,0.0,-36.0
169,2018-01-04-MKE,MKE,2018-01-04,41.0,0.0,0.0,30.0,-141.0
170,2018-01-04-MSP,MSP,2018-01-04,19.0,0.0,0.0,80.0,-184.0
171,2018-01-04-HNL,HNL,2018-01-04,59.0,0.0,0.0,0.0,245.0
172,2018-01-04-LAS,LAS,2018-01-04,27.0,0.0,0.0,0.0,28.5
173,2018-01-04-LAX,LAX,2018-01-04,28.0,0.0,0.0,0.0,167.0
174,2018-01-04-PHX,PHX,2018-01-04,16.0,0.0,0.0,0.0,191.0
175,2018-01-04-SAN,SAN,2018-01-04,16.0,0.0,0.0,0.0,166.0
176,2018-01-04-OAK,OAK,2018-01-04,24.0,5.0,0.0,0.0,144.5
177,2018-01-04-SFO,SFO,2018-01-04,27.0,8.0,0.0,0.0,124.0
178,2018-01-04-SJC,SJC,2018-01-04,40.0,0.0,0.0,0.0,164.0
179,2018-01-04-SLC,SLC,2018-01-04,10.0,0.0,0.0,0.0,-16.0
180,2018-01-04-PDX,PDX,2018-01-04,43.0,13.0,0.0,0.0,58.0
181,2018-01-04-SEA,SEA,2018-01-04,12.0,33.0,0.0,0.0,48.0
182,2018-01-04-IND,IND,2018-01-04,47.0,0.0,0.0,0.0,-146.0
183,2018-01-04-RSW,RSW,2018-01-04,38.0,0.0,0.0,0.0,23.0
184,2018-01-04-DEN,DEN,2018-01-04,25.0,0.0,0.0,0.0,14.5
185,2018-01-04-SNA,SNA,2018-01-04,7.0,0.0,0.0,0.0,175.0
186,2018-01-04-SMF,SMF,2018-01-04,17.0,38.0,0.0,0.0,141.5
187,2018-01-04-BWI,BWI,2018-01-04,86.0,25.0,23.0,30.0,-43.0
188,2018-01-04-IAD,IAD,2018-01-04,99.0,5.0,3.0,0.0,-42.0
189,2018-01-04-CVG,CVG,2018-01-04,49.0,0.0,0.0,0.0,-99.0
190,2018-01-04-CMH,CMH,2018-01-04,52.0,0.0,0.0,0.0,14.5
191,2018-01-04-PHL,PHL,2018-01-04,89.0,36.0,0.0,0.0,-54.5
192,2018-01-04-JFK,JFK,2018-01-04,126.0,124.0,203.0,30.0,-40.0
193,2018-01-04-PIT,PIT,2018-01-04,70.0,0.0,23.0,50.0,-93.0
194,2018-01-04-ORD,ORD,2018-01-04,55.0,0.0,0.0,30.0,-139.0
195,2018-01-04-DTW,DTW,2018-01-04,49.0,0.0,0.0,150.0,-112.0
196,2018-01-05-DFW,DFW,2018-01-05,28.0,0.0,0.0,0.0,69.0
197,2018-01-05-CLE,CLE,2018-01-05,93.0,0.0,0.0,0.0,-138.0
198,2018-01-05-MCO,MCO,2018-01-05,35.0,0.0,0.0,0.0,58.0
199,2018-01-05-MIA,MIA,2018-01-05,30.0,0.0,0.0,0.0,121.0
200,2018-01-05-TPA,TPA,2018-01-05,31.0,0.0,0.0,0.0,79.0
201,2018-01-05-FLL,FLL,2018-01-05,33.0,0.0,0.0,0.0,106.0
202,2018-01-05-MSY,MSY,2018-01-05,20.0,0.0,0.0,0.0,48.0
203,2018-01-05-HOU,HOU,2018-01-05,20.0,0.0,0.0,0.0,81.0
204,2018-01-05-SAT,SAT,2018-01-05,18.0,0.0,0.0,0.0,97.0
205,2018-01-05-IAH,IAH,2018-01-05,24.0,0.0,0.0,0.0,76.0
206,2018-01-05-RDU,RDU,2018-01-05,25.0,0.0,0.0,0.0,-61.0
207,2018-01-05-DCA,DCA,2018-01-05,70.0,0.0,0.0,30.0,-84.0
208,2018-01-05-ATL,ATL,2018-01-05,48.0,0.0,0.0,0.0,-38.0
209,2018-01-05-CLT,CLT,2018-01-05,22.0,0.0,0.0,0.0,-52.0
210,2018-01-05-BNA,BNA,2018-01-05,26.0,0.0,0.0,0.0,-62.0
211,2018-01-05-AUS,AUS,2018-01-05,20.0,0.0,0.0,0.0,92.0
212,2018-01-05-DAL,DAL,2018-01-05,28.0,0.0,0.0,0.0,71.0
213,2018-01-05-MCI,MCI,2018-01-05,38.0,0.0,0.0,0.0,-49.0
214,2018-01-05-STL,STL,2018-01-05,21.0,0.0,0.0,0.0,-91.0
215,2018-01-05-LGA,LGA,2018-01-05,111.0,0.0,0.0,180.0,-85.0
216,2018-01-05-EWR,EWR,2018-01-05,101.0,0.0,0.0,180.0,-92.0
217,2018-01-05-BOS,BOS,2018-01-05,111.0,0.0,0.0,0.0,-78.0
218,2018-01-05-MKE,MKE,2018-01-05,41.0,0.0,0.0,30.0,-148.0
219,2018-01-05-MSP,MSP,2018-01-05,20.0,0.0,0.0,50.0,-199.0
220,2018-01-05-HNL,HNL,2018-01-05,55.0,0.0,0.0,0.0,243.0
221,2018-01-05-LAS,LAS,2018-01-05,30.0,0.0,0.0,0.0,36.5
222,2018-01-05-LAX,LAX,2018-01-05,26.0,0.0,0.0,0.0,168.0
223,2018-01-05-PHX,PHX,2018-01-05,19.0,0.0,0.0,0.0,172.0
