,date_orig_id,AWND,PRCP,SNOW,SNWD,TAVG
148,2020-01-04-CLE,62.0,36.0,0.0,0.0,25.0
149,2020-01-04-MCO,61.0,104.0,0.0,0.0,224.0
150,2020-01-04-MIA,47.0,15.0,0.0,0.0,263.0
151,2020-01-04-TPA,55.0,264.0,0.0,0.0,223.0
152,2020-01-04-FLL,52.0,33.0,0.0,0.0,258.0
153,2020-01-04-MSY,41.0,0.0,0.0,0.0,157.0
154,2020-01-04-HOU,27.0,0.0,0.0,0.0,132.0
155,2020-01-04-SAT,24.0,0.0,0.0,0.0,123.0
156,2020-01-04-IAH,23.0,0.0,0.0,0.0,126.0
157,2020-01-04-RDU,41.0,114.0,0.0,0.0,147.0
158,2020-01-04-DCA,29.0,79.0,0.0,0.0,118.0
159,2020-01-04-ATL,65.0,36.0,0.0,0.0,136.0
160,2020-01-04-CLT,53.0,74.0,0.0,0.0,137.0
161,2020-01-04-BNA,44.0,8.0,0.0,0.0,86.0
162,2020-01-04-AUS,16.0,0.0,0.0,0.0,122.0
163,2020-01-04-DAL,18.0,0.0,0.0,0.0,88.0
164,2020-01-04-MCI,42.0,0.0,0.0,0.0,20.0
165,2020-01-04-STL,43.0,0.0,0.0,0.0,29.0
166,2020-01-04-LGA,38.0,61.0,0.0,0.0,84.0
167,2020-01-04-EWR,26.0,53.0,0.0,0.0,91.0
168,2020-01-04-BOS,24.0,33.0,0.0,0.0,81.0
169,2020-01-04-MKE,43.0,0.0,0.0,0.0,2.0
170,2020-01-04-MSP,37.0,0.0,0.0,100.0,-32.0
171,2020-01-04-HNL,52.0,0.0,0.0,0.0,244.0
172,2020-01-04-LAS,34.0,0.0,0.0,0.0,42.0
173,2020-01-04-LAX,22.0,0.0,0.0,0.0,149.0
174,2020-01-04-PHX,15.0,0.0,0.0,0.0,114.0
175,2020-01-04-SAN,13.0,0.0,0.0,0.0,143.0
176,2020-01-04-OAK,21.0,3.0,0.0,0.0,114.0
177,2020-01-04-SFO,41.0,0.0,0.0,0.0,125.0
178,2020-01-04-SJC,33.0,0.0,0.0,0.0,116.5
179,2020-01-04-SLC,38.0,0.0,0.0,0.0,34.0
180,2020-01-04-PDX,44.0,41.0,0.0,0.0,84.0
181,2020-01-04-SEA,63.0,25.0,0.0,0.0,83.0
182,2020-01-04-IND,49.0,0.0,0.0,0.0,22.5
183,2020-01-04-RSW,43.0,0.0,0.0,0.0,127.5
184,2020-01-04-DEN,38.0,0.0,0.0,0.0,70.0
185,2020-01-04-SNA,9.0,0.0,0.0,0.0,152.5
186,2020-01-04-SMF,32.0,20.0,0.0,0.0,94.5
187,2020-01-04-BWI,22.0,48.0,0.0,0.0,114.0
188,2020-01-04-IAD,30.0,89.0,0.0,0.0,113.0
189,2020-01-04-CVG,63.0,15.0,0.0,0.0,56.0
190,2020-01-04-CMH,54.0,13.0,0.0,0.0,108.5
191,2020-01-04-PHL,28.0,43.0,0.0,0.0,92.0
192,2020-01-04-JFK,37.0,41.0,0.0,0.0,84.0
193,2020-01-04-PIT,44.0,61.0,3.0,0.0,68.0
194,2020-01-04-ORD,41.0,8.0,13.0,30.0,-1.0
195,2020-01-04-DTW,43.0,3.0,0.0,0.0,26.0
196,2020-01-05-DFW,38.0,0.0,0.0,0.0,107.0
197,2020-01-05-CLE,82.0,0.0,0.0,0.0,28.0
198,2020-01-05-MCO,37.0,0.0,0.0,0.0,143.0
199,2020-01-05-MIA,43.0,0.0,0.0,0.0,192.0
200,2020-01-05-TPA,46.0,0.0,0.0,0.0,151.0
201,2020-01-05-FLL,51.0,0.0,0.0,0.0,179.0
202,2020-01-05-MSY,23.0,0.0,0.0,0.0,121.0
203,2020-01-05-HOU,33.0,0.0,0.0,0.0,141.0
204,2020-01-05-SAT,26.0,0.0,0.0,0.0,132.0
205,2020-01-05-IAH,25.0,0.0,0.0,0.0,130.0
206,2020-01-05-RDU,34.0,0.0,0.0,0.0,73.0
207,2020-01-05-DCA,55.0,0.0,0.0,0.0,63.0
208,2020-01-05-ATL,37.0,0.0,0.0,0.0,48.0
209,2020-01-05-CLT,26.0,0.0,0.0,0.0,64.0
210,2020-01-05-BNA,29.0,0.0,0.0,0.0,45.0
211,2020-01-05-AUS,36.0,0.0,0.0,0.0,128.0
212,2020-01-05-DAL,28.0,0.0,0.0,0.0,126.0
213,2020-01-05-MCI,40.0,0.0,0.0,0.0,53.0
214,2020-01-05-STL,46.0,0.0,0.0,0.0,37.0
215,2020-01-05-LGA,90.0,0.0,0.0,0.0,46.0
216,2020-01-05-EWR,73.0,0.0,0.0,0.0,53.0
217,2020-01-05-BOS,74.0,28.0,0.0,0.0,39.0
218,2020-01-05-MKE,55.0,0.0,0.0,0.0,-8.0
219,2020-01-05-MSP,53.0,3.0,0.0,100.0,-8.0
220,2020-01-05-HNL,51.0,0.0,0.0,0.0,248.0
221,2020-01-05-LAS,56.0,0.0,0.0,0.0,42.0
222,2020-01-05-LAX,20.0,0.0,0.0,0.0,143.0
223,2020-01-05-PHX,14.0,0.0,0.0,0.0,124.0
224,2020-01-05-SAN,12.0,0.0,0.0,0.0,141.0
225,2020-01-05-OAK,23.0,0.0,0.0,0.0,94.5
226,2020-01-05-SFO,36.0,0.0,0.0,0.0,111.0
227,2020-01-05-SJC,25.0,0.0,0.0,0.0,94.0
228,2020-01-05-SLC,18.0,0.0,0.0,0.0,-1.0
229,2020-01-05-PDX,47.0,66.0,0.0,0.0,71.0
230,2020-01-05-SEA,64.0,36.0,0.0,0.0,68.0
231,2020-01-05-IND,44.0,0.0,0.0,0.0,22.5
232,2020-01-05-RSW,17.0,0.0,0.0,0.0,83.5
233,2020-01-05-DEN,34.0,0.0,0.0,0.0,8.5
234,2020-01-05-SNA,11.0,0.0,0.0,0.0,150.0
235,2020-01-05-SMF,25.0,0.0,0.0,0.0,77.5
236,2020-01-05-BWI,56.0,0.0,0.0,0.0,56.0
237,2020-01-05-IAD,55.0,0.0,0.0,0.0,49.0
238,2020-01-05-CVG,51.0,0.0,0.0,0.0,21.0
239,2020-01-05-CMH,24.0,0.0,0.0,0.0,75.0
240,2020-01-05-PHL,70.0,0.0,0.0,0.0,50.0
241,2020-01-05-JFK,96.0,0.0,0.0,0.0,52.0
242,2020-01-05-PIT,51.0,5.0,0.0,0.0,-6.0
243,2020-01-05-ORD,62.0,0.0,0.0,0.0,-7.0
244,2020-01-05-DTW,66.0,10.0,18.0,0.0,-2.0
245,2020-01-06-DFW,35.0,0.0,0.0,0.0,102.0
246,2020-01-06-CLE,81.0,0.0,0.0,0.0,39.0
247,2020-01-06-MCO,13.0,0.0,0.0,0.0,127.0
248,2020-01-06-MIA,27.0,0.0,0.0,0.0,176.0
249,2020-01-06-TPA,32.0,0.0,0.0,0.0,144.0
250,2020-01-06-FLL,36.0,0.0,0.0,0.0,164.0
251,2020-01-06-MSY,27.0,0.0,0.0,0.0,149.0
252,2020-01-06-HOU,26.0,0.0,0.0,0.0,159.0
253,2020-01-06-SAT,32.0,0.0,0.0,0.0,138.0
254,2020-01-06-IAH,22.0,0.0,0.0,0.0,158.0
255,2020-01-06-RDU,14.0,0.0,0.0,0.0,66.0
256,2020-01-06-DCA,37.0,0.0,0.0,0.0,60.0
257,2020-01-06-ATL,26.0,0.0,0.0,0.0,89.0
258,2020-01-06-CLT,17.0,0.0,0.0,0.0,79.0
259,2020-01-06-BNA,17.0,20.0,0.0,0.0,73.0
260,2020-01-06-AUS,29.0,0.0,0.0,0.0,124.0
261,2020-01-06-DAL,29.0,0.0,0.0,0.0,111.0
262,2020-01-06-MCI,13.0,0.0,0.0,0.0,20.0
263,2020-01-06-STL,21.0,0.0,0.0,0.0,37.0
