,month,unique_carrier,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
126,1,DL,3,128505448,52573705,42509341,30945052,126028098,254533546,130116496.0,127400046,257516542.0,321234269,131422254,106263644,77355563,315041461,636275730,325715496,318471018,644186514,2015
127,1,EV,3,102060,0,0,0,0,102060,102060.0,0,102060.0,323056,0,0,0,0,323056,323056,0,323056,2015
128,1,F9,3,12592758,0,0,2284310,2284310,14877068,12669754.0,2300570,14970324.0,23101489,0,0,4549847,4549847,27651336,23283640,4585615,27869255,2015
129,1,FCQ,1,0,0,0,0,0,0,0.0,114398,114398.0,0,0,0,0,0,0,0,265402,265402,2015
130,1,FX,3,56990489,11439989,19820050,2154046,33414085,90404574,58367165.0,34155405,92522570.0,96924000,21150000,41200000,4594000,66944000,163868000,99393000,68733000,168126000,2015
131,1,G4,2,10111041,0,0,0,0,10111041,10542221.0,0,10542221.0,19132987,0,0,0,0,19132987,20000259,0,20000259,2015
132,1,G7,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
133,1,GFQ,1,0,0,0,0,0,0,51222.0,112409,163631.0,0,0,0,0,0,0,116655,260061,376716,2015
134,1,GL,2,0,0,0,0,0,0,352524.0,329418,681942.0,0,0,0,0,0,0,844471,789123,1633594,2015
135,1,HA,3,13589456,0,6143375,0,6143375,19732831,13687831.0,6160141,19847972.0,25405720,0,12708895,0,12708895,38114615,25605676,12740628,38346304,2015
136,1,WL,1,0,0,0,0,0,0,27448.0,160956,188404.0,0,0,0,0,0,0,52700,309033,361733,2015
137,1,KAQ,2,0,0,0,0,0,0,522211.0,1894420,2416631.0,0,0,0,0,0,0,977220,4084550,5061770,2015
138,1,KD,1,0,0,0,0,0,0,28288.0,16791,45079.0,0,0,0,0,0,0,51547,58373,109920,2015
139,1,KH,1,469255,0,0,0,0,469255,469255.0,0,469255.0,790721,0,0,0,0,790721,790721,0,790721,2015
140,1,KLQ,1,0,0,0,0,0,0,99972.0,40900,140872.0,0,0,0,0,0,0,243506,85454,328960,2015
141,1,L2,1,78107,0,0,0,0,78107,101851.0,0,101851.0,166748,0,0,0,0,166748,229402,0,229402,2015
142,1,M6,2,0,0,0,1335976,1335976,1335976,215314.0,1476051,1691365.0,0,0,0,2394275,2394275,2394275,385876,2645311,3031187,2015
143,1,MQ,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
144,1,N8,1,0,0,0,0,0,0,0.0,410414,410414.0,0,0,0,0,0,0,0,1264265,1264265,2015
145,1,NC,1,302864,0,0,0,0,302864,329481.0,0,329481.0,558213,0,0,0,0,558213,606305,0,606305,2015
146,1,NK,3,17117251,0,0,1923270,1923270,19040521,17117251.0,1923270,19040521.0,34434751,0,0,3869039,3869039,38303790,34434751,3869039,38303790,2015
147,1,OO,3,4128871,0,0,0,0,4128871,4128871.0,0,4128871.0,8969786,0,0,0,0,8969786,8969786,0,8969786,2015
148,1,PFQ,1,0,0,0,0,0,0,0.0,332961,332961.0,0,0,0,0,0,0,0,862055,862055,2015
149,1,PO,3,2545828,888316,10920534,0,11808850,14354678,2545828.0,11808850,14354678.0,4488091,2039193,20059074,0,22098267,26586358,4488091,22098267,26586358,2015
150,1,PRQ,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
151,1,QX,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
152,1,S5,2,6301599,0,0,0,0,6301599,6301599.0,0,6301599.0,10206564,0,0,0,0,10206564,10206564,0,10206564,2015
153,1,SY,2,2756723,0,0,1323171,1323171,4079894,3243140.0,1586518,4829658.0,4990272,0,0,2483088,2483088,7473360,6151014,3000427,9151441,2015
154,1,U7,2,0,0,0,0,0,0,236043.0,8635,244678.0,0,0,0,0,0,0,413257,25046,438303,2015
155,1,UA,3,107320509,52708715,56211091,28022429,136942235,244262744,108316645.0,137472732,245789377.0,187329301,98856737,106386576,52599803,257843116,445172417,189982976,258846726,448829702,2015
156,1,US,3,69739550,10615705,0,7509239,18124944,87864494,70101076.0,18215087,88316163.0,120874399,19367563,0,13620008,32987571,153861970,121510869,33158438,154669307,2015
157,1,VX,3,12398088,0,0,152809,152809,12550897,12441427.0,152809,12594236.0,23774320,0,0,272458,272458,24046778,23862346,272458,24134804,2015
158,1,WE,2,0,0,0,0,0,0,0.0,354916,354916.0,0,0,0,0,0,0,0,589170,589170,2015
159,1,WI,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
