,distance,fl_day,week_num,departures_performed,payload,passengers,freight,air_time,aircraft_type,distance_group,arr_delay,sdomt_gallons,tdomt_gallons,sdomt_cost,tdomt_cost,Year,mkt_unique_carrier_DL,mkt_unique_carrier_UA,mkt_unique_carrier_WN,origin_city_Charlotte,origin_city_Chicago,origin_city_Dallas/Fort Worth,origin_city_Denver,origin_city_Detroit,origin_city_Houston,origin_city_Las Vegas,origin_city_Los Angeles,origin_city_Minneapolis,origin_city_New York,origin_city_Newark,origin_city_Phoenix,origin_city_San Francisco,origin_city_Seattle,origin_city_Washington,dest_city_Charlotte,dest_city_Chicago,dest_city_Dallas/Fort Worth,dest_city_Denver,dest_city_Detroit,dest_city_Houston,dest_city_Las Vegas,dest_city_Los Angeles,dest_city_Minneapolis,dest_city_New York,dest_city_Orlando,dest_city_Phoenix,dest_city_San Francisco,dest_city_Seattle,dest_city_Washington,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_overnight,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_overnight
35399,1020.0,1,2,36.0,1301596.5,3804.0,759.0,4629.0,694.0,3.0,-24.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35400,2402.0,6,2,3.5,126915.5,453.0,107.0,1160.0,694.0,5.0,-27.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35401,1464.0,4,1,34.0,2162150.0,5937.0,9593.0,6665.5,699.0,3.0,-2.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35406,534.0,5,4,26.5,869760.0,2839.5,3275.5,2325.0,608.0,2.0,-22.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35418,758.0,0,4,30.0,1038000.0,2965.0,1460.0,3314.0,612.0,2.0,15.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
35422,854.0,4,4,33.5,1549107.0,5058.5,1841.5,3419.5,622.0,2.0,-16.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
35423,541.0,6,1,17.5,692000.0,2264.0,5410.0,1366.5,699.0,2.0,-12.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35429,1849.0,6,3,91.0,4704700.0,14807.0,3551.0,19279.0,699.0,4.0,-11.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35437,214.0,1,5,213.0,4066596.0,6460.5,0.0,9406.5,677.0,1.0,16.0,5327632.2,5327632.2,7937670.4,7937670.4,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
35440,1440.0,3,2,37.5,1367031.5,4613.0,445.5,6475.0,614.0,3.0,11.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35456,228.0,1,2,25.0,450720.0,1038.0,0.0,1192.0,638.0,1.0,18.0,6214610.8,6214610.8,12885113.2,12885113.2,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35464,651.0,1,2,26.0,996700.0,2608.0,3509.0,2295.0,694.0,2.0,-8.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
35465,1389.0,4,3,64.5,2585600.0,8103.0,2279.0,13271.5,614.0,3.0,-46.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35469,1107.0,0,1,46.0,1996400.0,6452.0,22694.5,6415.0,614.0,3.0,31.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35475,1773.0,5,2,27.0,2683800.0,6007.0,11591.0,6690.0,699.0,4.0,-12.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
35476,733.0,0,5,50.0,954600.0,2534.0,0.0,5110.0,677.0,2.0,210.0,5327632.2,5327632.2,7937670.4,7937670.4,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
