Sourcekey,WGFUPUS2,WKJUPUS2
Date,Weekly U.S. Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Kerosene-Type Jet Fuel  (Thousand Barrels per Day)
02-Jan-98,7832,1673
09-Jan-98,7673,1626
16-Jan-98,7779,1503
23-Jan-98,7940,1666
30-Jan-98,7670,1477
06-Feb-98,7673,1716
13-Feb-98,8201,1724
20-Feb-98,8005,1625
27-Feb-98,7662,1484
06-Mar-98,7744,1605
13-Mar-98,8103,1595
20-Mar-98,7753,1451
27-Mar-98,7996,1450
03-Apr-98,8992,1611
10-Apr-98,8031,1507
17-Apr-98,8303,1611
24-Apr-98,8118,1404
01-May-98,8190,1543
08-May-98,7503,1511
15-May-98,8524,1687
22-May-98,8337,1441
29-May-98,8205,1350
05-Jun-98,8312,1643
12-Jun-98,8103,1481
19-Jun-98,8160,1871
26-Jun-98,8644,1649
03-Jul-98,8755,1720
10-Jul-98,8234,1264
17-Jul-98,8749,1613
24-Jul-98,8125,1559
31-Jul-98,8997,1669
07-Aug-98,8317,1619
14-Aug-98,8981,1342
21-Aug-98,8288,1714
28-Aug-98,8607,1524
04-Sep-98,8713,1458
11-Sep-98,8722,1359
18-Sep-98,7873,1573
25-Sep-98,8359,1703
02-Oct-98,8058,1644
09-Oct-98,8797,1491
16-Oct-98,8049,1554
23-Oct-98,8099,1446
30-Oct-98,8360,1569
06-Nov-98,8195,1475
13-Nov-98,7711,1889
20-Nov-98,8381,1387
27-Nov-98,8313,1602
04-Dec-98,8162,1308
11-Dec-98,8314,1819
18-Dec-98,8588,1665
25-Dec-98,8153,1842
01-Jan-99,8519,1684
08-Jan-99,7385,1554
15-Jan-99,7810,1646
22-Jan-99,8186,1768
29-Jan-99,7866,1452
05-Feb-99,7532,1826
12-Feb-99,8756,1628
19-Feb-99,7948,1497
26-Feb-99,8316,1843
05-Mar-99,8273,1820
12-Mar-99,8451,1570
19-Mar-99,8367,1701
26-Mar-99,8337,1592
02-Apr-99,7959,1691
09-Apr-99,7878,1704
16-Apr-99,8066,1685
23-Apr-99,8923,1542
30-Apr-99,7825,1418
07-May-99,8059,1692
14-May-99,8761,1465
21-May-99,8275,1676
28-May-99,8401,1705
04-Jun-99,8193,1523
11-Jun-99,8827,1542
18-Jun-99,8522,1912
25-Jun-99,9045,1612
02-Jul-99,9076,1372
09-Jul-99,8679,1515
16-Jul-99,8622,1649
23-Jul-99,8639,1754
30-Jul-99,8537,1762
06-Aug-99,8644,1640
13-Aug-99,8519,1656
20-Aug-99,8415,1621
27-Aug-99,8810,1618
03-Sep-99,8778,1718
10-Sep-99,8593,1608
17-Sep-99,8504,1542
24-Sep-99,8865,1533
01-Oct-99,8557,1686
08-Oct-99,8433,1784
15-Oct-99,8406,1755
22-Oct-99,8521,1703
29-Oct-99,8532,1775
05-Nov-99,8333,1702
12-Nov-99,8416,1718
19-Nov-99,8404,1695
26-Nov-99,8416,1510
03-Dec-99,7670,1869
10-Dec-99,8557,1679
17-Dec-99,8638,1526
24-Dec-99,8590,1724
31-Dec-99,8851,1642
07-Jan-00,7907,1523
14-Jan-00,7543,1839
21-Jan-00,7919,1399
28-Jan-00,8385,1634
04-Feb-00,7642,1624
11-Feb-00,8375,1678
18-Feb-00,8524,1541
25-Feb-00,8072,1346
03-Mar-00,7608,1826
10-Mar-00,8662,1593
17-Mar-00,8201,1700
24-Mar-00,8384,1629
31-Mar-00,7896,1687
07-Apr-00,8655,1786
14-Apr-00,8557,1529
21-Apr-00,8616,1728
28-Apr-00,8302,1607
05-May-00,8679,1727
12-May-00,8242,1613
19-May-00,8408,1794
26-May-00,9075,1646
02-Jun-00,8863,1783
09-Jun-00,8403,1582
16-Jun-00,8895,1600
23-Jun-00,8475,1548
30-Jun-00,8620,1694
07-Jul-00,8519,1657
14-Jul-00,8844,1680
21-Jul-00,8361,1760
28-Jul-00,8614,1697
04-Aug-00,8759,1723
11-Aug-00,8813,1794
18-Aug-00,8786,1756
25-Aug-00,8960,1839
01-Sep-00,8644,1684
08-Sep-00,8573,1700
15-Sep-00,8814,1741
22-Sep-00,8153,1741
29-Sep-00,7819,1850
06-Oct-00,8340,1820
13-Oct-00,8663,1617
20-Oct-00,8604,1964
27-Oct-00,8942,1889
03-Nov-00,8780,1531
10-Nov-00,8216,1888
17-Nov-00,8419,1834
24-Nov-00,8063,1569
01-Dec-00,8233,1742
08-Dec-00,8711,1572
15-Dec-00,8475,1633
22-Dec-00,8400,1719
29-Dec-00,8693,1888
05-Jan-01,7825,1847
12-Jan-01,8225,1515
19-Jan-01,7894,1603
26-Jan-01,7338,1826
02-Feb-01,8589,1669
09-Feb-01,8032,1700
16-Feb-01,7850,1718
23-Feb-01,8187,1767
02-Mar-01,8489,1691
09-Mar-01,8425,1769
16-Mar-01,8484,1860
23-Mar-01,8475,1804
30-Mar-01,8507,1702
06-Apr-01,8306,1564
13-Apr-01,8438,1630
20-Apr-01,8708,1509
27-Apr-01,8404,1733
04-May-01,8665,1785
11-May-01,8275,1786
18-May-01,8917,1650
25-May-01,8270,1856
01-Jun-01,8809,1680
08-Jun-01,8428,1685
15-Jun-01,8393,1498
22-Jun-01,8921,1657
29-Jun-01,9036,1889
06-Jul-01,8622,1692
13-Jul-01,9095,1763
20-Jul-01,9176,1723
27-Jul-01,9007,1876
03-Aug-01,8959,1728
10-Aug-01,8671,1774
17-Aug-01,9035,1768
24-Aug-01,8943,1671
31-Aug-01,8612,1587
07-Sep-01,8529,1805
14-Sep-01,8969,1408
21-Sep-01,7834,1246
28-Sep-01,8514,1479
05-Oct-01,8500,1513
12-Oct-01,8766,1726
19-Oct-01,8619,1581
26-Oct-01,8702,1602
02-Nov-01,8797,1639
09-Nov-01,8771,1606
16-Nov-01,8612,1342
23-Nov-01,8868,1365
30-Nov-01,8517,1523
07-Dec-01,8327,1554
14-Dec-01,8622,1552
21-Dec-01,8888,1601
28-Dec-01,8860,1451
04-Jan-02,8288,1594
11-Jan-02,8359,1563
18-Jan-02,8049,1539
25-Jan-02,8184,1528
01-Feb-02,8223,1605
08-Feb-02,8117,1592
15-Feb-02,8428,1666
22-Feb-02,8729,1475
01-Mar-02,8782,1429
08-Mar-02,8277,1438
15-Mar-02,8713,1547
22-Mar-02,8621,1568
29-Mar-02,8386,1510
05-Apr-02,8865,1661
12-Apr-02,8840,1748
19-Apr-02,8684,1501
26-Apr-02,8699,1617
03-May-02,8521,1515
10-May-02,8548,1512
17-May-02,9190,1504
24-May-02,8685,1524
31-May-02,8778,1470
07-Jun-02,9004,1631
14-Jun-02,8771,1540
21-Jun-02,8752,1650
28-Jun-02,9172,1630
05-Jul-02,9004,1605
12-Jul-02,8985,1617
19-Jul-02,9056,1592
26-Jul-02,9093,1724
02-Aug-02,9297,1592
09-Aug-02,9270,1546
16-Aug-02,8939,1703
23-Aug-02,9173,1564
30-Aug-02,9135,1608
06-Sep-02,8844,1478
13-Sep-02,8899,1542
20-Sep-02,8625,1592
27-Sep-02,8582,1795
04-Oct-02,8895,1540
11-Oct-02,9090,1568
18-Oct-02,8653,1574
25-Oct-02,9022,1670
01-Nov-02,9324,1490
08-Nov-02,8759,1549
15-Nov-02,8540,1738
22-Nov-02,8667,1634
29-Nov-02,9060,1783
06-Dec-02,8616,1618
13-Dec-02,8854,1603
20-Dec-02,9063,1839
27-Dec-02,8989,1618
03-Jan-03,8411,1648
10-Jan-03,8335,1731
17-Jan-03,8645,1681
24-Jan-03,8793,1581
31-Jan-03,8551,1368
07-Feb-03,8106,1536
14-Feb-03,8454,1689
21-Feb-03,8619,1319
28-Feb-03,8421,1651
07-Mar-03,9020,1505
14-Mar-03,8596,1415
21-Mar-03,8666,1724
28-Mar-03,8284,1783
04-Apr-03,8458,1462
11-Apr-03,8640,1669
18-Apr-03,8737,1444
25-Apr-03,8358,1309
02-May-03,8834,1705
09-May-03,8894,1348
16-May-03,8992,1544
23-May-03,9299,1474
30-May-03,8516,1312
06-Jun-03,8529,1497
13-Jun-03,8880,1553
20-Jun-03,8833,1656
27-Jun-03,9476,1455
04-Jul-03,9050,1545
11-Jul-03,8763,1684
18-Jul-03,9177,1687
25-Jul-03,9563,1697
01-Aug-03,9303,1569
08-Aug-03,9381,1790
15-Aug-03,9325,1543
22-Aug-03,9668,1615
29-Aug-03,9337,1678
05-Sep-03,8886,1404
12-Sep-03,8974,1612
19-Sep-03,9166,1439
26-Sep-03,8690,1508
03-Oct-03,9190,1699
10-Oct-03,9156,1783
17-Oct-03,8754,1614
24-Oct-03,9413,1513
31-Oct-03,9316,1614
07-Nov-03,8995,1695
14-Nov-03,9232,1504
21-Nov-03,8725,1684
28-Nov-03,8979,1698
05-Dec-03,8776,1790
12-Dec-03,8930,1740
19-Dec-03,9166,1663
26-Dec-03,8726,1521
02-Jan-04,8686,1703
09-Jan-04,8411,1314
16-Jan-04,8426,1401
23-Jan-04,8543,1835
